iter	Passed	Remaining
408	3339	4824
409	3345	4813
410	3349	4799
411	3352	4784
412	3358	4773
413	3362	4759
414	3366	4746
415	3369	4729
416	3375	4719
417	3378	4704
418	3380	4688
419	3383	4672
420	3388	4659
421	3391	4645
422	3394	4629
423	3396	4614
424	3400	4600
425	3406	4589
426	3408	4574
427	3411	4558
428	3413	4543
429	3416	4528
430	3425	4522
431	3430	4510
432	3435	4499
433	3440	4486
434	3445	4474
435	3451	4465
436	3456	4452
437	3459	4438
438	3461	4423
439	3466	4412
440	3469	4397
441	3471	4382
442	3474	4368
443	3476	4353
444	3479	4339
445	3481	4325
446	3484	4310
447	3486	4296
448	3489	4282
449	3494	4271
450	3497	4257
451	3499	4243
452	3503	4230
453	3506	4216
454	3519	4215
455	3528	4209
456	3532	4197
457	3535	4183
458	3538	4170
459	3545	4162
460	3550	4151
461	3555	4139
462	3564	4134
463	3571	4125
464	3575	4113
465	3579	4102
466	3582	4089
467	3588	4079
468	3598	4074
469	3606	4067
470	3611	4055
471	3620	4049
472	3623	4036
473	3626	4024
474	3630	4013
475	3638	4005
476	3643	3994
477	3646	3982
478	3650	3970
479	3656	3961
480	3660	3949
481	3664	3938
482	3671	3929
483	3674	3917
484	3677	3905
485	3682	3894
486	3688	3885
487	3749	3934
488	3752	3920
489	3754	3907
490	3756	3894
491	3759	3881
492	3764	3871
493	3767	3858
494	3769	3845
495	3771	3832
496	3773	3819
497	3776	3806
498	3782	3797
499	3805	3805
500	3808	3792
501	3812	3782
502	3815	3769
503	3817	3756
504	3819	3744
505	3822	3731
506	3824	3719
507	3828	3708
508	3831	3695
509	3834	3684
510	3873	3706
511	3879	3697
512	3884	3688
513	3888	3676
514	3895	3668
515	3897	3655
516	3901	3644
517	3904	3633
518	3919	3632
519	3925	3623
520	3964	3645
521	3967	3633
522	3970	3621
523	3975	3611
524	3979	3600
525	3981	3587
526	3983	3575
527	3986	3563
528	3990	3553
529	3993	3541
530	3995	3529
531	4031	3546
532	4060	3557
533	4062	3545
534	4064	3532
535	4086	3537
536	4089	3525
537	4092	3514
538	4096	3503
539	4102	3494
540	4105	3482
541	4107	3470
542	4109	3458
543	4148	3477
544	4153	3467
545	4156	3456
546	4161	3446
547	4167	3437
548	4170	3426
549	4174	3415
550	4176	3403
551	4179	3391
552	4184	3382
553	4191	3374
554	4234	3395
555	4239	3385
556	4247	3378
557	4251	3367
558	4254	3356
559	4258	3345
560	4263	3336
561	4265	3324
562	4285	3326
563	4293	3318
564	4299	3310
565	4302	3299
566	4305	3287
567	4309	3277
568	4311	3265
569	4317	3257
570	4320	3245
571	4322	3234
572	4325	3223
573	4351	3229
574	4357	3220
575	4365	3213
576	4368	3202
577	4370	3191
578	4374	3180
579	4381	3173
580	4384	3161
581	4386	3150
582	4390	3140
583	4431	3156
584	4461	3164
585	4471	3158
586	4477	3150
587	4481	3139
588	4484	3128
589	4486	3117
590	4489	3106
591	4492	3096
592	4494	3085
593	4499	3075
594	4502	3064
595	4504	3053
596	4507	3042
597	4510	3031
598	4515	3022
599	4518	3012
600	4572	3035
601	4582	3029
602	4585	3018
603	4587	3007
604	4590	2996
605	4597	2989
606	4601	2978
607	4603	2968
608	4608	2959
609	4611	2948
610	4639	2953
611	4651	2948
612	4654	2938
613	4698	2953
614	4700	2942
615	4704	2932
616	4709	2923
617	4711	2912
618	4714	2901
619	4717	2891
620	4720	2880
621	4732	2875
622	4734	2865
623	4747	2860
624	4768	2860
625	4773	2852
626	4777	2842
627	4780	2831
628	4785	2822
629	4793	2815
630	4798	2806
631	4844	2820
632	4848	2810
633	4862	2806
634	4865	2796
635	4872	2788
636	4875	2778
637	4878	2768
638	4882	2758
639	4888	2749
640	4891	2739
641	4893	2728
642	4896	2718
643	4901	2709
644	4906	2700
645	4911	2691
646	4918	2683
647	4921	2673
648	4923	2662
649	4926	2652
650	4931	2643
651	4934	2633
652	4936	2623
653	4939	2613
654	4956	2610
655	4982	2612
656	4985	2602
657	4990	2594
658	4998	2586
659	5002	2577
660	5006	2567
661	5013	2559
662	5023	2553
663	5030	2545
664	5033	2535
665	5057	2536
666	5061	2527
667	5075	2522
668	5078	2512
669	5092	2508
670	5095	2498
671	5099	2488
672	5117	2486
673	5121	2477
674	5127	2468
675	5135	2461
676	5138	2451
677	5141	2441
678	5144	2432
679	5150	2423
680	5153	2414
681	5156	2404
682	5159	2394
683	5162	2384
684	5165	2375
685	5167	2365
686	5170	2355
687	5172	2345
688	5174	2335
689	5180	2327
690	5182	2317
691	5185	2307
692	5187	2298
693	5190	2288
694	5194	2279
695	5197	2270
696	5199	2260
697	5201	2250
698	5204	2241
699	5209	2232
700	5212	2223
701	5215	2213
702	5217	2204
703	5220	2194
704	5226	2187
705	5230	2178
706	5234	2169
707	5239	2161
708	5242	2151
709	5244	2142
710	5247	2132
711	5249	2123
712	5255	2115
713	5258	2106
714	5263	2097
715	5266	2088
716	5271	2080
717	5275	2071
718	5277	2062
719	5281	2053
720	5285	2045
721	5289	2036
722	5292	2027
723	5295	2018
724	5298	2009
725	5304	2002
726	5307	1993
727	5311	1984
728	5314	1975
729	5321	1968
730	5334	1962
731	5337	1954
732	5339	1945
733	5346	1937
734	5349	1928
735	5353	1920
736	5357	1911
737	5366	1905
738	5371	1897
739	5384	1891
740	5391	1884
741	5394	1875
742	5416	1873
743	5424	1866
744	5427	1857
745	5429	1848
746	5432	1839
747	5445	1834
748	5455	1828
749	5460	1820
750	5464	1811
751	5490	1810
752	5492	1801
753	5495	1792
754	5501	1785
755	5520	1781
756	5529	1775
757	5536	1767
758	5539	1758
759	5542	1750
760	5551	1743
761	5558	1736
762	5564	1728
763	5567	1719
764	5585	1715
765	5587	1707
766	5600	1701
767	5603	1692
768	5607	1684
769	5611	1676
770	5615	1667
771	5618	1659
772	5624	1651
773	5627	1643
774	5631	1635
775	5634	1626
776	5640	1618
777	5644	1610
778	5648	1602
779	5650	1593
780	5655	1585
781	5661	1578
782	5665	1570
783	5669	1562
784	5672	1553
785	5677	1545
786	5679	1537
787	5682	1528
788	5687	1520
789	5689	1512
790	5691	1503
791	5694	1495
792	5696	1487
793	5713	1482
794	5719	1474
795	5721	1466
796	5723	1457
797	5726	1449
798	5729	1441
799	5734	1433
800	5736	1425
801	5739	1416
802	5741	1408
803	5758	1403
804	5764	1396
805	5767	1388
806	5771	1380
807	5777	1372
808	5784	1365
809	5787	1357
810	5791	1349
811	5805	1344
812	5808	1336
813	5813	1328
814	5815	1320
815	5818	1312
816	5821	1304
817	5828	1296
818	5831	1288
819	5835	1280
820	5838	1273
821	5845	1265
822	5849	1257
823	5852	1250
824	5855	1242
825	5860	1234
826	5864	1226
827	5867	1218
828	5871	1211
829	5876	1203
830	5880	1195
831	5883	1187
832	5886	1180
833	5893	1173
834	5895	1165
835	5899	1157
836	5905	1150
837	5909	1142
838	5912	1134
839	5914	1126
840	5918	1119
841	5922	1111
842	5926	1103
843	5928	1095
844	5931	1088
845	5936	1080
846	5939	1072
847	5941	1065
848	5947	1057
849	5950	1050
850	5954	1042
851	5956	1034
852	5959	1027
853	5966	1020
854	5969	1012
855	5971	1004
856	5975	997
857	5981	989
858	5986	982
859	5993	975
860	5995	967
861	5998	960
862	6001	952
863	6008	945
864	6010	938
865	6014	930
866	6017	923
867	6022	915
868	6032	909
869	6035	901
870	6037	894
871	6040	886
872	6042	879
873	6048	871
874	6050	864
875	6074	859
876	6081	852
877	6096	847
878	6102	840
879	6106	832
880	6111	825
881	6114	818
882	6117	810
883	6121	803
884	6126	796
885	6130	788
886	6134	781
887	6137	774
888	6143	767
889	6147	759
890	6150	752
891	6153	745
892	6160	738
893	6163	730
894	6167	723
895	6170	716
896	6178	709
897	6183	702
898	6188	695
899	6192	688
900	6196	680
901	6199	673
902	6204	666
903	6208	659
904	6212	652
905	6215	644
906	6222	638
907	6226	630
908	6230	623
909	6235	616
910	6239	609
911	6242	602
912	6246	595
913	6251	588
914	6254	581
915	6262	574
916	6268	567
917	6271	560
918	6275	553
919	6279	546
920	6286	539
921	6290	532
922	6293	525
923	6298	518
924	6301	510
925	6305	503
926	6309	496
927	6315	490
928	6319	482
929	6323	475
930	6342	470
931	6348	463
932	6351	456
933	6354	449
934	6360	442
935	6371	435
936	6394	429
937	6401	423
938	6405	416
939	6413	409
940	6416	402
941	6419	395
942	6421	388
943	6427	381
944	6431	374
945	6434	367
946	6437	360
947	6445	353
948	6448	346
949	6451	339
950	6456	332
951	6463	325
952	6467	318
953	6472	312
954	6489	305
955	6494	298
956	6498	291
957	6503	285
958	6506	278
959	6509	271
960	6512	264
961	6519	257
962	6532	250
963	6541	244
964	6546	237
965	6564	231
966	6572	224
967	6577	217
968	6584	210
969	6591	203
970	6595	196
971	6608	190
972	6619	183
973	6625	176
974	6628	169
975	6635	163
976	6640	156
977	6644	149
978	6652	142
979	6658	135
980	6672	129
981	6680	122
982	6683	115
983	6686	108
984	6688	101
985	6691	95
986	6696	88
987	6698	81
988	6701	74
989	6703	67
990	6706	60
991	6712	54
992	6715	47
993	6717	40
994	6720	33
995	6725	27
996	6728	20
997	6730	13
998	6733	6
999	6735	0
